model_name,status,file
sentence-transformers/sentence-t5-large,updated,sentence_transformers_models.py
sentence-transformers/sentence-t5-xl,updated,sentence_transformers_models.py
sentence-transformers/sentence-t5-xxl,updated,sentence_transformers_models.py
sentence-transformers/static-similarity-mrl-multilingual-v1,updated,sentence_transformers_models.py
sergeyzh/BERTA,updated,ru_sentence_models.py
sergeyzh/LaBSE-ru-turbo,updated,ru_sentence_models.py
sergeyzh/rubert-mini-frida,updated,ru_sentence_models.py
sergeyzh/rubert-tiny-turbo,updated,ru_sentence_models.py
shibing624/text2vec-base-chinese,updated,text2vec_models.py
shibing624/text2vec-base-chinese-paraphrase,updated,text2vec_models.py
shibing624/text2vec-base-multilingual,updated,text2vec_models.py
silma-ai/silma-embeddding-matryoshka-v0.1,updated,misc_models.py
spartan8806/atles-champion-embedding,updated,spartan8806_atles_champion.py
tencent/KaLM-Embedding-Gemma3-12B-2511,updated,kalm_models.py
tencent/Youtu-Embedding,updated,youtu_models.py
thenlper/gte-base,updated,misc_models.py
thenlper/gte-base-zh,updated,gte_models.py
thenlper/gte-large,updated,misc_models.py
thenlper/gte-large-zh,updated,gte_models.py
thenlper/gte-small,updated,misc_models.py
thenlper/gte-small-zh,updated,gte_models.py
unicamp-dl/mt5-13b-mmarco-100k,updated,rerankers_monot5_based.py
unicamp-dl/mt5-base-mmarco-v2,updated,rerankers_monot5_based.py
vidore/colSmol-256M,updated,colsmol_models.py
vidore/colSmol-500M,updated,colsmol_models.py
vidore/colpali-v1.1,updated,colpali_models.py
vidore/colpali-v1.2,updated,colpali_models.py
vidore/colpali-v1.3,updated,colpali_models.py
vidore/colqwen2-v1.0,updated,colqwen_models.py
vidore/colqwen2.5-v0.2,updated,colqwen_models.py
voyageai/voyage-2,updated,voyage_models.py
voyageai/voyage-3,updated,voyage_models.py
voyageai/voyage-3-large,updated,voyage_models.py
voyageai/voyage-3-lite,updated,voyage_models.py
voyageai/voyage-3-m-exp,updated,voyage_models.py
voyageai/voyage-3.5,updated,voyage_models.py
voyageai/voyage-3.5 (output_dtype=binary),updated,voyage_models.py
voyageai/voyage-3.5 (output_dtype=int8),updated,voyage_models.py
voyageai/voyage-code-2,updated,voyage_models.py
voyageai/voyage-code-3,updated,voyage_models.py
voyageai/voyage-finance-2,updated,voyage_models.py
voyageai/voyage-large-2,updated,voyage_models.py
voyageai/voyage-large-2-instruct,updated,voyage_models.py
voyageai/voyage-law-2,updated,voyage_models.py
voyageai/voyage-multilingual-2,updated,voyage_models.py
voyageai/voyage-multimodal-3,updated,voyage_v.py
w601sxs/b1ade-embed,updated,b1ade_models.py
yibinlei/LENS-d4000,updated,lens_models.py
yibinlei/LENS-d8000,updated,lens_models.py
zeta-alpha-ai/Zeta-Alpha-E5-Mistral,updated,e5_instruct.py
