model_name,total_params,active_params,input_embedding_params,status
TencentBAC/Conan-embedding-v2,,,,"error: Unrecognized model in TencentBAC/Conan-embedding-v2. Should have a `model_type` key in its config.json, or contain one of the following strings in its name: albert, align, altclip, audio-spectrogram-transformer, autoformer, bark, bart, beit, bert, bert-generation, big_bird, bigbird_pegasus, biogpt, bit, blenderbot, blenderbot-small, blip, blip-2, bloom, bridgetower, bros, camembert, canine, chameleon, chinese_clip, chinese_clip_vision_model, clap, clip, clip_text_model, clip_vision_model, clipseg, clvp, code_llama, codegen, cohere, conditional_detr, convbert, convnext, convnextv2, cpmant, ctrl, cvt, dac, data2vec-audio, data2vec-text, data2vec-vision, dbrx, deberta, deberta-v2, decision_transformer, deformable_detr, deit, depth_anything, deta, detr, dinat, dinov2, distilbert, donut-swin, dpr, dpt, efficientformer, efficientnet, electra, encodec, encoder-decoder, ernie, ernie_m, esm, falcon, falcon_mamba, fastspeech2_conformer, flaubert, flava, fnet, focalnet, fsmt, funnel, fuyu, gemma, gemma2, git, glm, glpn, gpt-sw3, gpt2, gpt_bigcode, gpt_neo, gpt_neox, gpt_neox_japanese, gptj, gptsan-japanese, granite, granitemoe, graphormer, grounding-dino, groupvit, hiera, hubert, ibert, idefics, idefics2, idefics3, ijepa, imagegpt, informer, instructblip, instructblipvideo, jamba, jetmoe, jukebox, kosmos-2, layoutlm, layoutlmv2, layoutlmv3, led, levit, lilt, llama, llava, llava_next, llava_next_video, llava_onevision, longformer, longt5, luke, lxmert, m2m_100, mamba, mamba2, marian, markuplm, mask2former, maskformer, maskformer-swin, mbart, mctct, mega, megatron-bert, mgp-str, mimi, mistral, mixtral, mllama, mobilebert, mobilenet_v1, mobilenet_v2, mobilevit, mobilevitv2, moshi, mpnet, mpt, mra, mt5, musicgen, musicgen_melody, mvp, nat, nemotron, nezha, nllb-moe, nougat, nystromformer, olmo, olmo2, olmoe, omdet-turbo, oneformer, open-llama, openai-gpt, opt, owlv2, owlvit, paligemma, patchtsmixer, patchtst, pegasus, pegasus_x, perceiver, persimmon, phi, phi3, phimoe, pix2struct, pixtral, plbart, poolformer, pop2piano, prophetnet, pvt, pvt_v2, qdqbert, qwen2, qwen2_audio, qwen2_audio_encoder, qwen2_moe, qwen2_vl, rag, realm, recurrent_gemma, reformer, regnet, rembert, resnet, retribert, roberta, roberta-prelayernorm, roc_bert, roformer, rt_detr, rt_detr_resnet, rwkv, sam, seamless_m4t, seamless_m4t_v2, segformer, seggpt, sew, sew-d, siglip, siglip_vision_model, speech-encoder-decoder, speech_to_text, speech_to_text_2, speecht5, splinter, squeezebert, stablelm, starcoder2, superpoint, swiftformer, swin, swin2sr, swinv2, switch_transformers, t5, table-transformer, tapas, time_series_transformer, timesformer, timm_backbone, trajectory_transformer, transfo-xl, trocr, tvlt, tvp, udop, umt5, unispeech, unispeech-sat, univnet, upernet, van, video_llava, videomae, vilt, vipllava, vision-encoder-decoder, vision-text-dual-encoder, visual_bert, vit, vit_hybrid, vit_mae, vit_msn, vitdet, vitmatte, vits, vivit, wav2vec2, wav2vec2-bert, wav2vec2-conformer, wavlm, whisper, xclip, xglm, xlm, xlm-prophetnet, xlm-roberta, xlm-roberta-xl, xlnet, xmod, yolos, yoso, zamba, zoedepth, bidir_mistral"
TomoroAI/tomoro-colqwen3-embed-4b,,,,skipped: too large from safetensors (~4.44B params)
TomoroAI/tomoro-colqwen3-embed-8b,,,,skipped: too large from safetensors (~8.77B params)
VPLabs/SearchMap_Preview,,,,error: please install xformers
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,134998272,85845504,49152768,success
WhereIsAI/UAE-Large-V1,335141888,303887360,31254528,success
aari1995/German_Semantic_STS_V2,335735808,303887360,31848448,success
abhinand/MedEmbed-small-v0.1,33360000,21639552,11720448,success
ai-forever/FRIDA,1729483776,1585635840,143847936,success
ai-forever/ru-en-RoSBERTa,404757504,303888384,100869120,success
ai-forever/sbert_large_mt_nlu_ru,426908672,303887360,123021312,success
ai-forever/sbert_large_nlu_ru,426908672,303887360,123021312,success
ai-sage/Giga-Embeddings-instruct,,,,error: cannot import name 'ALL_ATTENTION_FUNCTIONS' from 'transformers.modeling_utils' (/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py)
amazon/Titan-text-embeddings-v2,,,,proprietary
andersborges/model2vecdk,,,,proprietary
andersborges/model2vecdk-stem,,,,proprietary
annamodels/LGAI-Embedding-Preview,7110672384,6979588096,131084288,success
avsolatorio/GIST-Embedding-v0,109482240,86041344,23440896,success
avsolatorio/GIST-all-MiniLM-L6-v2,22713216,10992768,11720448,success
avsolatorio/GIST-large-Embedding-v0,335141888,303887360,31254528,success
avsolatorio/GIST-small-Embedding-v0,33360000,21639552,11720448,success
avsolatorio/NoInstruct-small-Embedding-v0,33360000,21639552,11720448,success
baseline/random-cross-encoder-baseline,,,,proprietary
baseline/random-encoder-baseline,,,,proprietary
bedrock/amazon-titan-embed-text-v1,,,,proprietary
bedrock/amazon-titan-embed-text-v2,,,,proprietary
bedrock/cohere-embed-english-v3,,,,proprietary
bedrock/cohere-embed-multilingual-v3,,,,proprietary
bflhc/MoD-Embedding,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
bflhc/Octen-Embedding-4B,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
bflhc/Octen-Embedding-8B,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
bigscience/sgpt-bloom-7b1-msmarco,7068205056,6041411584,1026793472,success
bisectgroup/BiCA-base,109482240,86041344,23440896,success
bkai-foundation-models/vietnamese-bi-encoder,134998272,85845504,49152768,success
bm25s,,,,"error: bm25s is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
brahmairesearch/slx-v0.1,22713216,10992768,11720448,success
castorini/monobert-large-msmarco,335141888,303887360,31254528,success
castorini/monot5-3b-msmarco-10k,2851598336,2818699264,32899072,success
castorini/monot5-base-msmarco-10k,222903552,198229248,24674304,success
castorini/monot5-large-msmarco-10k,737668096,704769024,32899072,success
castorini/monot5-small-msmarco-10k,60506624,44057088,16449536,success
castorini/repllama-v1-7b-lora-passage,6607343616,6476271616,131072000,success
cl-nagoya/ruri-base,111207168,86041344,25165824,success
cl-nagoya/ruri-base-v2,111207168,86041344,25165824,success
cl-nagoya/ruri-large,337441792,303887360,33554432,success
cl-nagoya/ruri-large-v2,337441792,303887360,33554432,success
cl-nagoya/ruri-small,68087808,42921984,25165824,success
cl-nagoya/ruri-small-v2,68087808,42921984,25165824,success
cl-nagoya/ruri-v3-130m,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
cl-nagoya/ruri-v3-30m,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
cl-nagoya/ruri-v3-310m,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
cl-nagoya/ruri-v3-70m,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
clips/e5-base-trm-nl,124443648,86042112,38401536,success
clips/e5-large-trm-nl,355090432,303888384,51202048,success
clips/e5-small-trm-nl,40840320,21639552,19200768,success
codefuse-ai/C2LLM-0.5B,,,,error: This modeling file requires the following packages that were not found in your environment: deepspeed. Run `pip install deepspeed`
codefuse-ai/C2LLM-7B,,,,error: This modeling file requires the following packages that were not found in your environment: deepspeed. Run `pip install deepspeed`
codefuse-ai/F2LLM-0.6B,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
codefuse-ai/F2LLM-1.7B,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
codefuse-ai/F2LLM-4B,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
codesage/codesage-base-v2,354742272,304408576,50333696,success
codesage/codesage-large-v2,1313464320,1212796928,100667392,success
codesage/codesage-small-v2,128010240,77676544,50333696,success
cohere/embed-english-v3.0,,,,proprietary
cohere/embed-multilingual-v3.0,,,,proprietary
cointegrated/LaBSE-en-ru,128345088,86041344,42303744,success
cointegrated/rubert-tiny,11784168,2560200,9223968,success
cointegrated/rubert-tiny2,29193768,3039432,26154336,success
colbert-ir/colbertv2.0,109482240,86041344,23440896,success
consciousAI/cai-lunaris-text-embeddings,335141888,303887360,31254528,success
consciousAI/cai-stellaris-text-embeddings,,,,"error: Unable to load weights from pytorch checkpoint file for '/root/.cache/huggingface/hub/models--consciousAI--cai-stellaris-text-embeddings/snapshots/c000ec4b29588daf0f4a0b2ad4e72ee807d8efc0/pytorch_model.bin' at '/root/.cache/huggingface/hub/models--consciousAI--cai-stellaris-text-embeddings/snapshots/c000ec4b29588daf0f4a0b2ad4e72ee807d8efc0/pytorch_model.bin'. If you tried to load a PyTorch model from a TF 2.0 checkpoint, please set from_tf=True."
deepfile/embedder-100p,278043648,86042112,192001536,success
deepvk/USER-base,124043520,85440000,38603520,success
deepvk/USER-bge-m3,359026688,311752704,47273984,success
deepvk/USER2-base,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
deepvk/USER2-small,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
deepvk/deberta-v1-base,124043520,85440000,38603520,success
dmedhi/PawanEmbd-68M,67816704,67816704,,success
dunzhang/stella-large-zh-v3-1792d,325522432,303887360,21635072,success
dunzhang/stella-mrl-large-zh-v3.5-1792d,325522432,303887360,21635072,success
dwzhu/e5-base-4k,112234752,88793856,23440896,success
eagerworks/eager-embed-v1,,,,"error: The checkpoint you are trying to load has model type `qwen3_vl` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
emillykkejensen/EmbeddingGemma-Scandi-300m,,,,"error: The checkpoint you are trying to load has model type `gemma3_text` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
emillykkejensen/Qwen3-Embedding-Scandi-0.6B,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
emillykkejensen/mmBERTscandi-base-embedding,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
facebook/SONAR,,,,"error: Unrecognized model in facebook/SONAR. Should have a `model_type` key in its config.json, or contain one of the following strings in its name: albert, align, altclip, audio-spectrogram-transformer, autoformer, bark, bart, beit, bert, bert-generation, big_bird, bigbird_pegasus, biogpt, bit, blenderbot, blenderbot-small, blip, blip-2, bloom, bridgetower, bros, camembert, canine, chameleon, chinese_clip, chinese_clip_vision_model, clap, clip, clip_text_model, clip_vision_model, clipseg, clvp, code_llama, codegen, cohere, conditional_detr, convbert, convnext, convnextv2, cpmant, ctrl, cvt, dac, data2vec-audio, data2vec-text, data2vec-vision, dbrx, deberta, deberta-v2, decision_transformer, deformable_detr, deit, depth_anything, deta, detr, dinat, dinov2, distilbert, donut-swin, dpr, dpt, efficientformer, efficientnet, electra, encodec, encoder-decoder, ernie, ernie_m, esm, falcon, falcon_mamba, fastspeech2_conformer, flaubert, flava, fnet, focalnet, fsmt, funnel, fuyu, gemma, gemma2, git, glm, glpn, gpt-sw3, gpt2, gpt_bigcode, gpt_neo, gpt_neox, gpt_neox_japanese, gptj, gptsan-japanese, granite, granitemoe, graphormer, grounding-dino, groupvit, hiera, hubert, ibert, idefics, idefics2, idefics3, ijepa, imagegpt, informer, instructblip, instructblipvideo, jamba, jetmoe, jukebox, kosmos-2, layoutlm, layoutlmv2, layoutlmv3, led, levit, lilt, llama, llava, llava_next, llava_next_video, llava_onevision, longformer, longt5, luke, lxmert, m2m_100, mamba, mamba2, marian, markuplm, mask2former, maskformer, maskformer-swin, mbart, mctct, mega, megatron-bert, mgp-str, mimi, mistral, mixtral, mllama, mobilebert, mobilenet_v1, mobilenet_v2, mobilevit, mobilevitv2, moshi, mpnet, mpt, mra, mt5, musicgen, musicgen_melody, mvp, nat, nemotron, nezha, nllb-moe, nougat, nystromformer, olmo, olmo2, olmoe, omdet-turbo, oneformer, open-llama, openai-gpt, opt, owlv2, owlvit, paligemma, patchtsmixer, patchtst, pegasus, pegasus_x, perceiver, persimmon, phi, phi3, phimoe, pix2struct, pixtral, plbart, poolformer, pop2piano, prophetnet, pvt, pvt_v2, qdqbert, qwen2, qwen2_audio, qwen2_audio_encoder, qwen2_moe, qwen2_vl, rag, realm, recurrent_gemma, reformer, regnet, rembert, resnet, retribert, roberta, roberta-prelayernorm, roc_bert, roformer, rt_detr, rt_detr_resnet, rwkv, sam, seamless_m4t, seamless_m4t_v2, segformer, seggpt, sew, sew-d, siglip, siglip_vision_model, speech-encoder-decoder, speech_to_text, speech_to_text_2, speecht5, splinter, squeezebert, stablelm, starcoder2, superpoint, swiftformer, swin, swin2sr, swinv2, switch_transformers, t5, table-transformer, tapas, time_series_transformer, timesformer, timm_backbone, trajectory_transformer, transfo-xl, trocr, tvlt, tvp, udop, umt5, unispeech, unispeech-sat, univnet, upernet, van, video_llava, videomae, vilt, vipllava, vision-encoder-decoder, vision-text-dual-encoder, visual_bert, vit, vit_hybrid, vit_mae, vit_msn, vitdet, vitmatte, vits, vivit, wav2vec2, wav2vec2-bert, wav2vec2-conformer, wavlm, whisper, xclip, xglm, xlm, xlm-prophetnet, xlm-roberta, xlm-roberta-xl, xlnet, xmod, yolos, yoso, zamba, zoedepth"
facebook/contriever-msmarco,109482240,86041344,23440896,success
facebook/dinov2-base,86580480,86580480,,success
facebook/dinov2-giant,1136480768,1136480768,,success
facebook/dinov2-large,304368640,304368640,,success
facebook/dinov2-small,22056576,22056576,,success
facebook/webssl-dino1b-full2b-224,1134771200,1134771200,,success
facebook/webssl-dino2b-full2b-224,2084237568,2084237568,,success
facebook/webssl-dino2b-heavy2b-224,2084237568,2084237568,,success
facebook/webssl-dino2b-light2b-224,2084237568,2084237568,,success
facebook/webssl-dino300m-full2b-224,303655168,303655168,,success
facebook/webssl-dino3b-full2b-224,2948317184,2948317184,,success
facebook/webssl-dino3b-heavy2b-224,2948317184,2948317184,,success
facebook/webssl-dino3b-light2b-224,2948317184,2948317184,,success
facebook/webssl-dino5b-full2b-224,4938338816,4938338816,,success
facebook/webssl-dino7b-full8b-224,6450170880,6450170880,,success
facebook/webssl-dino7b-full8b-378,6452108288,6452108288,,success
facebook/webssl-dino7b-full8b-518,6454729728,6454729728,,success
facebook/webssl-mae1b-full2b-224,1136925696,1136925696,,success
facebook/webssl-mae300m-full2b-224,304351232,304351232,,success
facebook/webssl-mae700m-full2b-224,632404480,632404480,,success
fangxq/XYZ-embedding,325522432,303887360,21635072,success
fyaronskiy/english_code_retriever,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
google/embeddinggemma-300m,"307,581,696","106,255,104","201,326,592",success
google/flan-t5-base,222903552,198229248,24674304,success
google/flan-t5-large,750251008,717351936,32899072,success
google/flan-t5-xl,2783959040,2718160896,65798144,success
google/flan-t5-xxl,11003736064,10872139776,131596288,success
google/gemini-embedding-001,,,,proprietary
google/siglip-base-patch16-224,203155970,203155970,,success
google/siglip-base-patch16-256,203202050,203202050,,success
google/siglip-base-patch16-256-multilingual,370626050,370626050,,success
google/siglip-base-patch16-384,203447810,203447810,,success
google/siglip-base-patch16-512,203791874,203791874,,success
google/siglip-large-patch16-256,652150786,652150786,,success
google/siglip-large-patch16-384,652478466,652478466,,success
google/siglip-so400m-patch14-224,877360306,877360306,,success
google/siglip-so400m-patch14-384,877960498,877960498,,success
google/siglip-so400m-patch16-256-i18n,1128758962,1128758962,,success
google/text-embedding-004,,,,proprietary
google/text-embedding-005,,,,proprietary
google/text-multilingual-embedding-002,,,,proprietary
hiieu/halong_embedding,278043648,86042112,192001536,success
iampanda/zpoint_large_embedding_zh,325522432,303887360,21635072,success
ibm-granite/granite-embedding-107m-multilingual,106994304,10993536,96000768,success
ibm-granite/granite-embedding-125m-english,124645632,86042112,38603520,success
ibm-granite/granite-embedding-278m-multilingual,278043648,86042112,192001536,success
ibm-granite/granite-embedding-30m-english,30295296,10993536,19301760,success
ibm-granite/granite-embedding-english-r2,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
ibm-granite/granite-embedding-small-english-r2,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
ibm-granite/granite-vision-3.3-2b-embedding,,,,"error: Error(s) in loading state_dict for GraniteVisionEmb:
	size mismatch for model.multi_modal_projector.linear_1.weight: copying a param with shape torch.Size([2048, 4608]) from checkpoint, the shape in current model is torch.Size([2048, 1152]).
	You may consider adding `ignore_mismatched_sizes=True` in the model `from_pretrained` method."
infgrad/Jasper-Token-Compression-600M,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
infgrad/stella-base-en-v2,109482240,86041344,23440896,success
infgrad/stella-base-zh-v3-1792d,102660864,86434560,16226304,success
infly/inf-retriever-v1,7069121024,,,skipped: too large for BF16 (~7.07B > 6.5B)
infly/inf-retriever-v1-1.5b,1543268864,1310340608,232928256,success
intfloat/e5-base,109482240,86041344,23440896,success
intfloat/e5-base-v2,109482240,86041344,23440896,success
intfloat/e5-large,335141888,303887360,31254528,success
intfloat/e5-large-v2,335141888,303887360,31254528,success
intfloat/e5-mistral-7b-instruct,7110660096,6979588096,131072000,success
intfloat/e5-small,33360000,21639552,11720448,success
intfloat/e5-small-v2,33360000,21639552,11720448,success
intfloat/mmE5-mllama-11b-instruct,10642941475,,,skipped: too large for BF16 (~10.64B > 6.5B)
intfloat/multilingual-e5-base,278043648,86042112,192001536,success
intfloat/multilingual-e5-large,559890432,303888384,256002048,success
intfloat/multilingual-e5-large-instruct,559890432,303888384,256002048,success
intfloat/multilingual-e5-small,117653760,21639552,96014208,success
izhx/udever-bloom-1b1,1065314304,679962624,385351680,success
izhx/udever-bloom-3b,3002557440,2360304640,642252800,success
izhx/udever-bloom-560m,559214592,302313472,256901120,success
izhx/udever-bloom-7b1,7069016064,6041411584,1027604480,success
jhu-clsp/FollowIR-7B,7241732096,,,skipped: too large for BF16 (~7.24B > 6.5B)
jinaai/jina-clip-v1,222647041,222647041,,success
jinaai/jina-colbert-v2,559366144,559366144,,success
jinaai/jina-embedding-b-en-v1,109628544,84954240,24674304,success
jinaai/jina-embedding-s-en-v1,35330816,18881280,16449536,success
jinaai/jina-embeddings-v2-base-en,137368320,113922816,23445504,success
jinaai/jina-embeddings-v2-small-en,32690688,17060352,15630336,success
jinaai/jina-embeddings-v3,12946300,12946300,,success
jinaai/jina-embeddings-v4,,,,error: No module named 'transformers.models.qwen2_5_vl'
jinaai/jina-reranker-v2-base-multilingual,278436864,278436864,,success
jinaai/jina-reranker-v3,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
jxm/cde-small-v1,281140992,281140992,,success
jxm/cde-small-v2,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
kakaobrain/align-base,172117841,172117841,,success
keeeeenw/MicroLlama-text-embedding,271869952,239100928,32769024,success
laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K,,,,"error: Unrecognized model in laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K. Should have a `model_type` key in its config.json, or contain one of the following strings in its name: albert, align, altclip, audio-spectrogram-transformer, autoformer, bark, bart, beit, bert, bert-generation, big_bird, bigbird_pegasus, biogpt, bit, blenderbot, blenderbot-small, blip, blip-2, bloom, bridgetower, bros, camembert, canine, chameleon, chinese_clip, chinese_clip_vision_model, clap, clip, clip_text_model, clip_vision_model, clipseg, clvp, code_llama, codegen, cohere, conditional_detr, convbert, convnext, convnextv2, cpmant, ctrl, cvt, dac, data2vec-audio, data2vec-text, data2vec-vision, dbrx, deberta, deberta-v2, decision_transformer, deformable_detr, deit, depth_anything, deta, detr, dinat, dinov2, distilbert, donut-swin, dpr, dpt, efficientformer, efficientnet, electra, encodec, encoder-decoder, ernie, ernie_m, esm, falcon, falcon_mamba, fastspeech2_conformer, flaubert, flava, fnet, focalnet, fsmt, funnel, fuyu, gemma, gemma2, git, glm, glpn, gpt-sw3, gpt2, gpt_bigcode, gpt_neo, gpt_neox, gpt_neox_japanese, gptj, gptsan-japanese, granite, granitemoe, graphormer, grounding-dino, groupvit, hiera, hubert, ibert, idefics, idefics2, idefics3, ijepa, imagegpt, informer, instructblip, instructblipvideo, jamba, jetmoe, jukebox, kosmos-2, layoutlm, layoutlmv2, layoutlmv3, led, levit, lilt, llama, llava, llava_next, llava_next_video, llava_onevision, longformer, longt5, luke, lxmert, m2m_100, mamba, mamba2, marian, markuplm, mask2former, maskformer, maskformer-swin, mbart, mctct, mega, megatron-bert, mgp-str, mimi, mistral, mixtral, mllama, mobilebert, mobilenet_v1, mobilenet_v2, mobilevit, mobilevitv2, moshi, mpnet, mpt, mra, mt5, musicgen, musicgen_melody, mvp, nat, nemotron, nezha, nllb-moe, nougat, nystromformer, olmo, olmo2, olmoe, omdet-turbo, oneformer, open-llama, openai-gpt, opt, owlv2, owlvit, paligemma, patchtsmixer, patchtst, pegasus, pegasus_x, perceiver, persimmon, phi, phi3, phimoe, pix2struct, pixtral, plbart, poolformer, pop2piano, prophetnet, pvt, pvt_v2, qdqbert, qwen2, qwen2_audio, qwen2_audio_encoder, qwen2_moe, qwen2_vl, rag, realm, recurrent_gemma, reformer, regnet, rembert, resnet, retribert, roberta, roberta-prelayernorm, roc_bert, roformer, rt_detr, rt_detr_resnet, rwkv, sam, seamless_m4t, seamless_m4t_v2, segformer, seggpt, sew, sew-d, siglip, siglip_vision_model, speech-encoder-decoder, speech_to_text, speech_to_text_2, speecht5, splinter, squeezebert, stablelm, starcoder2, superpoint, swiftformer, swin, swin2sr, swinv2, switch_transformers, t5, table-transformer, tapas, time_series_transformer, timesformer, timm_backbone, trajectory_transformer, transfo-xl, trocr, tvlt, tvp, udop, umt5, unispeech, unispeech-sat, univnet, upernet, van, video_llava, videomae, vilt, vipllava, vision-encoder-decoder, vision-text-dual-encoder, visual_bert, vit, vit_hybrid, vit_mae, vit_msn, vitdet, vitmatte, vits, vivit, wav2vec2, wav2vec2-bert, wav2vec2-conformer, wavlm, whisper, xclip, xglm, xlm, xlm-prophetnet, xlm-roberta, xlm-roberta-xl, xlnet, xmod, yolos, yoso, zamba, zoedepth"
laion/CLIP-ViT-B-32-DataComp.XL-s13B-b90K,,,,"error: Unrecognized model in laion/CLIP-ViT-B-32-DataComp.XL-s13B-b90K. Should have a `model_type` key in its config.json, or contain one of the following strings in its name: albert, align, altclip, audio-spectrogram-transformer, autoformer, bark, bart, beit, bert, bert-generation, big_bird, bigbird_pegasus, biogpt, bit, blenderbot, blenderbot-small, blip, blip-2, bloom, bridgetower, bros, camembert, canine, chameleon, chinese_clip, chinese_clip_vision_model, clap, clip, clip_text_model, clip_vision_model, clipseg, clvp, code_llama, codegen, cohere, conditional_detr, convbert, convnext, convnextv2, cpmant, ctrl, cvt, dac, data2vec-audio, data2vec-text, data2vec-vision, dbrx, deberta, deberta-v2, decision_transformer, deformable_detr, deit, depth_anything, deta, detr, dinat, dinov2, distilbert, donut-swin, dpr, dpt, efficientformer, efficientnet, electra, encodec, encoder-decoder, ernie, ernie_m, esm, falcon, falcon_mamba, fastspeech2_conformer, flaubert, flava, fnet, focalnet, fsmt, funnel, fuyu, gemma, gemma2, git, glm, glpn, gpt-sw3, gpt2, gpt_bigcode, gpt_neo, gpt_neox, gpt_neox_japanese, gptj, gptsan-japanese, granite, granitemoe, graphormer, grounding-dino, groupvit, hiera, hubert, ibert, idefics, idefics2, idefics3, ijepa, imagegpt, informer, instructblip, instructblipvideo, jamba, jetmoe, jukebox, kosmos-2, layoutlm, layoutlmv2, layoutlmv3, led, levit, lilt, llama, llava, llava_next, llava_next_video, llava_onevision, longformer, longt5, luke, lxmert, m2m_100, mamba, mamba2, marian, markuplm, mask2former, maskformer, maskformer-swin, mbart, mctct, mega, megatron-bert, mgp-str, mimi, mistral, mixtral, mllama, mobilebert, mobilenet_v1, mobilenet_v2, mobilevit, mobilevitv2, moshi, mpnet, mpt, mra, mt5, musicgen, musicgen_melody, mvp, nat, nemotron, nezha, nllb-moe, nougat, nystromformer, olmo, olmo2, olmoe, omdet-turbo, oneformer, open-llama, openai-gpt, opt, owlv2, owlvit, paligemma, patchtsmixer, patchtst, pegasus, pegasus_x, perceiver, persimmon, phi, phi3, phimoe, pix2struct, pixtral, plbart, poolformer, pop2piano, prophetnet, pvt, pvt_v2, qdqbert, qwen2, qwen2_audio, qwen2_audio_encoder, qwen2_moe, qwen2_vl, rag, realm, recurrent_gemma, reformer, regnet, rembert, resnet, retribert, roberta, roberta-prelayernorm, roc_bert, roformer, rt_detr, rt_detr_resnet, rwkv, sam, seamless_m4t, seamless_m4t_v2, segformer, seggpt, sew, sew-d, siglip, siglip_vision_model, speech-encoder-decoder, speech_to_text, speech_to_text_2, speecht5, splinter, squeezebert, stablelm, starcoder2, superpoint, swiftformer, swin, swin2sr, swinv2, switch_transformers, t5, table-transformer, tapas, time_series_transformer, timesformer, timm_backbone, trajectory_transformer, transfo-xl, trocr, tvlt, tvp, udop, umt5, unispeech, unispeech-sat, univnet, upernet, van, video_llava, videomae, vilt, vipllava, vision-encoder-decoder, vision-text-dual-encoder, visual_bert, vit, vit_hybrid, vit_mae, vit_msn, vitdet, vitmatte, vits, vivit, wav2vec2, wav2vec2-bert, wav2vec2-conformer, wavlm, whisper, xclip, xglm, xlm, xlm-prophetnet, xlm-roberta, xlm-roberta-xl, xlnet, xmod, yolos, yoso, zamba, zoedepth"
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,151277313,151277313,,success
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,986109441,986109441,,success
laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K,427616513,427616513,,success
laion/CLIP-ViT-L-14-laion2B-s32B-b82K,427616513,427616513,,success
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2539567105,2539567105,,success
