model_name,status,citation
voyageai/voyage-code-2,citation_not_found,
voyageai/voyage-code-3,citation_not_found,
voyageai/voyage-finance-2,citation_not_found,
voyageai/voyage-large-2,citation_not_found,
voyageai/voyage-large-2-instruct,citation_not_found,
voyageai/voyage-law-2,citation_not_found,
voyageai/voyage-multilingual-2,citation_not_found,
MongoDB/mdbr-leaf-ir,already_present,"@misc{mdbr_leaf,
  title={LEAF: Knowledge Distillation of Text Embedding Models with Teacher-Aligned..."
MongoDB/mdbr-leaf-mt,already_present,"@misc{mdbr_leaf,
  title={LEAF: Knowledge Distillation of Text Embedding Models with Teacher-Aligned..."
KennethEnevoldsen/dfm-sentence-encoder-large,already_present,"@article{enevoldsenScandinavianEmbeddingBenchmarks2024,
    title = {The {Scandinavian} {Embedding} ..."
KennethEnevoldsen/dfm-sentence-encoder-medium,already_present,"@article{enevoldsenScandinavianEmbeddingBenchmarks2024,
    title = {The {Scandinavian} {Embedding} ..."
jxm/cde-small-v1,already_present,"@misc{morris2024contextualdocumentembeddings,
    title={Contextual Document Embeddings},
    author..."
jxm/cde-small-v2,already_present,"@misc{morris2024contextualdocumentembeddings,
    title={Contextual Document Embeddings},
    author..."
Sailesh97/Hinvec,citation_not_found,
w601sxs/b1ade-embed,already_present,"
    @misc{bigscience_workshop_2022,
    author       = { {Shreyas Subramanian} },
    title        ..."
google/flan-t5-base,already_present,"@misc{10.48550/arxiv.2210.11416,
      doi = {10.48550/ARXIV.2210.11416},
      url = {https://arxiv..."
google/flan-t5-large,already_present,"@misc{10.48550/arxiv.2210.11416,
      doi = {10.48550/ARXIV.2210.11416},
      url = {https://arxiv..."
google/flan-t5-xl,already_present,"@misc{10.48550/arxiv.2210.11416,
      doi = {10.48550/ARXIV.2210.11416},
      url = {https://arxiv..."
google/flan-t5-xxl,already_present,"@misc{10.48550/arxiv.2210.11416,
      doi = {10.48550/ARXIV.2210.11416},
      url = {https://arxiv..."
jhu-clsp/FollowIR-7B,already_present,"
    @misc{weller2024followir,
      title={FollowIR: Evaluating and Teaching Information Retrieval ..."
meta-llama/Llama-2-7b-hf,already_present,"@misc{touvron2023llama2openfoundation,
      title={Llama 2: Open Foundation and Fine-Tuned Chat Mod..."
meta-llama/Llama-2-7b-chat-hf,already_present,"@misc{touvron2023llama2openfoundation,
      title={Llama 2: Open Foundation and Fine-Tuned Chat Mod..."
mistralai/Mistral-7B-Instruct-v0.2,already_present,"@misc{jiang2023mistral7b,
      title={Mistral 7B},
      author={Albert Q. Jiang and Alexandre Sabl..."
castorini/monot5-3b-msmarco-10k,already_present,"@misc{rosa2022parameterleftbehinddistillation,
      title={No Parameter Left Behind: How Distillati..."
castorini/monot5-base-msmarco-10k,already_present,"@misc{rosa2022parameterleftbehinddistillation,
      title={No Parameter Left Behind: How Distillati..."
castorini/monot5-large-msmarco-10k,already_present,"@misc{rosa2022parameterleftbehinddistillation,
      title={No Parameter Left Behind: How Distillati..."
castorini/monot5-small-msmarco-10k,already_present,"@misc{rosa2022parameterleftbehinddistillation,
      title={No Parameter Left Behind: How Distillati..."
unicamp-dl/mt5-13b-mmarco-100k,citation_not_found,
unicamp-dl/mt5-base-mmarco-v2,already_present,"@misc{bonifacio2021mmarco,
      title={mMARCO: A Multilingual Version of MS MARCO Passage Ranking D..."
Alibaba-NLP/gme-Qwen2-VL-2B-Instruct,already_present,"@misc{zhang2024gme,
      title={GME: Improving Universal Multimodal Retrieval by Multimodal LLMs},
..."
Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,already_present,"@misc{zhang2024gme,
      title={GME: Improving Universal Multimodal Retrieval by Multimodal LLMs},
..."
fangxq/XYZ-embedding,citation_not_found,
rasgaard/m2v-dfm-large,already_present,"@article{minishlab2024model2vec,
    author = {Tulkens, Stephan and {van Dongen}, Thomas},
    title..."
bedrock/amazon-titan-embed-text-v1,repo_not_found,
bedrock/amazon-titan-embed-text-v2,repo_not_found,
bedrock/cohere-embed-english-v3,repo_not_found,
bedrock/cohere-embed-multilingual-v3,repo_not_found,
Cohere/Cohere-embed-english-v3.0,citation_not_found,
Cohere/Cohere-embed-english-light-v3.0,citation_not_found,
Cohere/Cohere-embed-multilingual-v3.0,citation_not_found,
Cohere/Cohere-embed-multilingual-light-v3.0,citation_not_found,
Qodo/Qodo-Embed-1-1.5B,citation_not_found,
Qodo/Qodo-Embed-1-7B,citation_not_found,
WhereIsAI/UAE-Large-V1,already_present,"
    @article{li2023angle,
      title={AnglE-optimized Text Embeddings},
      author={Li, Xianming..."
GeoGPT-Research-Project/GeoEmbedding,citation_not_found,
infgrad/stella-base-zh-v3-1792d,citation_not_found,
NovaSearch/stella_en_1.5B_v5,already_present,"@misc{zhang2025jasperstelladistillationsota,
      title={Jasper and Stella: distillation of SOTA em..."
NovaSearch/stella_en_400M_v5,already_present,"@misc{zhang2025jasperstelladistillationsota,
      title={Jasper and Stella: distillation of SOTA em..."
dunzhang/stella-large-zh-v3-1792d,citation_not_found,
dunzhang/stella-mrl-large-zh-v3.5-1792d,citation_not_found,
iampanda/zpoint_large_embedding_zh,citation_not_found,
sensenova/piccolo-base-zh,citation_not_found,
sensenova/piccolo-large-zh-v2,already_present,"@misc{2405.06932,
    Author = {Junqin Huang and Zhongjie Hu and Zihao Jing and Mengya Gao and Yicha..."
facebook/SONAR,already_present,"@misc{Duquenne:2023:sonar_arxiv,
  author = {Paul-Ambroise Duquenne and Holger Schwenk and Benoit Sa..."
OpenSearch-AI/Ops-MoA-Conan-embedding-v1,citation_not_found,
OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0,citation_not_found,
ByteDance-Seed/Seed1.5-Embedding,repo_not_found,
Human,repo_not_found,
VPLabs/SearchMap_Preview,already_present,"@misc{vectorpath2025searchmap,
  title={SearchMap: Conversational E-commerce Search Embedding Model}..."
ByteDance/ListConRanker,already_present,"@article{liu2025listconranker,
  title={ListConRanker: A Contrastive Text Reranker with Listwise Enc..."
Linq-AI-Research/Linq-Embed-Mistral,already_present,"@misc{LinqAIResearch2024,
  title={Linq-Embed-Mistral:Elevating Text Retrieval with Improved GPT Dat..."
infly/inf-retriever-v1,already_present,"@misc{infly-ai_2025,
  author       = {Junhan Yang and Jiahe Wan and Yichen Yao and Wei Chu and Ying..."
infly/inf-retriever-v1-1.5b,already_present,"@misc{infly-ai_2025,
  author       = {Junhan Yang and Jiahe Wan and Yichen Yao and Wei Chu and Ying..."
OrdalieTech/Solon-embeddings-mini-beta-1.1,citation_not_found,
BAAI/bge-visualized-base,already_present,"@article{zhou2024vista,
  title={VISTA: Visualized Text Embedding For Universal Multi-Modal Retrieva..."
BAAI/bge-visualized-m3,already_present,"@article{zhou2024vista,
  title={VISTA: Visualized Text Embedding For Universal Multi-Modal Retrieva..."
laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
laion/CLIP-ViT-B-32-DataComp.XL-s13B-b90K,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
laion/CLIP-ViT-L-14-laion2B-s32B-b82K,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
laion/CLIP-ViT-g-14-laion2B-s34B-b88K,already_present,"@inproceedings{cherti2023reproducible,
    title={Reproducible scaling laws for contrastive language..."
baseline/random-cross-encoder-baseline,repo_not_found,
baseline/random-encoder-baseline,repo_not_found,
infgrad/Jasper-Token-Compression-600M,already_present,"
@misc{zhang2025jaspertokencompression600mtechnicalreport,
      title={Jasper-Token-Compression-600..."
NovaSearch/jasper_en_vision_language_v1,already_present,"
@misc{zhang2025jasperstelladistillationsota,
      title={Jasper and Stella: distillation of SOTA e..."
KBLab/sentence-bert-swedish-cased,added,"@misc{rekathati2021introducing,  
  author = {Rekathati, Faton},  
  title = {The KBLab Blog: Introd..."
cl-nagoya/ruri-base,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-base-v2,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-large,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-large-v2,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-small,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-small-v2,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-v3-130m,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-v3-30m,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-v3-310m,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
cl-nagoya/ruri-v3-70m,already_present,"@misc{Ruri,
  title={{Ruri: Japanese General Text Embeddings}},
  author={Hayato Tsukagoshi and Ryoh..."
mixedbread-ai/mxbai-embed-2d-large-v1,citation_not_found,
mixedbread-ai/mxbai-embed-large-v1,already_present,"
    @online{emb2024mxbai,
      title={Open Source Strikes Bread - New Fluffy Embeddings Model},
  ..."
mixedbread-ai/mxbai-embed-xsmall-v1,added,"@online{xsmall2024mxbai,
  title={Every Byte Matters: Introducing mxbai-embed-xsmall-v1},
  author={..."
Salesforce/blip2-opt-2.7b,already_present,"@inproceedings{li2023blip2,
    title={{BLIP-2:} Bootstrapping Language-Image Pre-training with Froz..."
Salesforce/blip2-opt-6.7b-coco,already_present,"@inproceedings{li2023blip2,
    title={{BLIP-2:} Bootstrapping Language-Image Pre-training with Froz..."
fyaronskiy/english_code_retriever,citation_not_found,
BMRetriever/BMRetriever-1B,already_present,"
@inproceedings{xu-etal-2024-bmretriever,
    title = ""{BMR}etriever: Tuning Large Language Models a..."
BMRetriever/BMRetriever-2B,already_present,"
@inproceedings{xu-etal-2024-bmretriever,
    title = ""{BMR}etriever: Tuning Large Language Models a..."
BMRetriever/BMRetriever-410M,already_present,"
@inproceedings{xu-etal-2024-bmretriever,
    title = ""{BMR}etriever: Tuning Large Language Models a..."
BMRetriever/BMRetriever-7B,already_present,"
@inproceedings{xu-etal-2024-bmretriever,
    title = ""{BMR}etriever: Tuning Large Language Models a..."
google/siglip-base-patch16-224,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-base-patch16-256,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-base-patch16-256-multilingual,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-base-patch16-384,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-base-patch16-512,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-large-patch16-256,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-large-patch16-384,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-so400m-patch14-224,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-so400m-patch14-384,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
google/siglip-so400m-patch16-256-i18n,already_present,"@misc{zhai2023sigmoid,
      title={Sigmoid Loss for Language Image Pre-Training},
      author={Xia..."
sentence-transformers/all-MiniLM-L12-v2,already_present,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
sentence-transformers/all-MiniLM-L6-v2,already_present,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
sentence-transformers/all-mpnet-base-v2,already_present,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
facebook/contriever-msmarco,already_present,"
    @misc{izacard2021contriever,
      title={Unsupervised Dense Information Retrieval with Contras..."
sentence-transformers/gtr-t5-base,citation_not_found,
sentence-transformers/gtr-t5-large,citation_not_found,
sentence-transformers/gtr-t5-xl,citation_not_found,
sentence-transformers/gtr-t5-xxl,citation_not_found,
sentence-transformers/LaBSE,already_present,"@misc{feng2022languageagnosticbertsentenceembedding,
      title={Language-agnostic BERT Sentence Em..."
keeeeenw/MicroLlama-text-embedding,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,already_present,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,already_present,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,already_present,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
sentence-transformers/sentence-t5-base,citation_not_found,
sentence-transformers/sentence-t5-large,citation_not_found,
sentence-transformers/sentence-t5-xl,citation_not_found,
sentence-transformers/sentence-t5-xxl,citation_not_found,
sentence-transformers/static-similarity-mrl-multilingual-v1,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
llamaindex/vdr-2b-multi-v1,citation_not_found,
royokong/e5-v,already_present,"@article{jiang2024e5v,
      title={E5-V: Universal Embeddings with Multimodal Large Language Models..."
amazon/Titan-text-embeddings-v2,citation_not_found,
openai/text-embedding-3-large,repo_not_found,
openai/text-embedding-3-large (embed_dim=512),"repo_check_error: Repo id must use alphanumeric chars or '-', '_', '.', '--' and '..' are forbidden, '-' and '.' cannot start or end the name, max length is 96: 'openai/text-embedding-3-large (embed_dim=512)'.",
openai/text-embedding-3-small,repo_not_found,
openai/text-embedding-3-small (embed_dim=512),"repo_check_error: Repo id must use alphanumeric chars or '-', '_', '.', '--' and '..' are forbidden, '-' and '.' cannot start or end the name, max length is 96: 'openai/text-embedding-3-small (embed_dim=512)'.",
openai/text-embedding-ada-002,repo_not_found,
IEITYuan/Yuan-embedding-2.0-zh,citation_not_found,
sergeyzh/BERTA,citation_not_found,
deepvk/deberta-v1-base,citation_not_found,
DeepPavlov/distilrubert-small-cased-conversational,already_present,"@misc{https://doi.org/10.48550/arxiv.2205.02340,
      doi = {10.48550/ARXIV.2205.02340},
      url ..."
ai-forever/FRIDA,added,"@misc{TODO
}"
ai-sage/Giga-Embeddings-instruct,citation_not_found,
cointegrated/LaBSE-en-ru,citation_not_found,
sergeyzh/LaBSE-ru-turbo,citation_not_found,
ai-forever/ru-en-RoSBERTa,already_present,"@misc{snegirev2024russianfocusedembeddersexplorationrumteb,
      title={The Russian-focused embedde..."
DeepPavlov/rubert-base-cased,already_present,"@misc{kuratov2019adaptationdeepbidirectionalmultilingual,
      title={Adaptation of Deep Bidirectio..."
DeepPavlov/rubert-base-cased-sentence,citation_not_found,
sergeyzh/rubert-mini-frida,citation_not_found,
cointegrated/rubert-tiny,citation_not_found,
cointegrated/rubert-tiny2,citation_not_found,
sergeyzh/rubert-tiny-turbo,citation_not_found,
ai-forever/sbert_large_mt_nlu_ru,citation_not_found,
ai-forever/sbert_large_nlu_ru,citation_not_found,
deepvk/USER2-base,added,"@misc{deepvk2025user,
    title={USER2},
    author={Malashenko, Boris and Spirin, Egor and Sokolov ..."
deepvk/USER2-small,added,"@misc{deepvk2025user,
    title={USER2},
    author={Malashenko, Boris and Spirin, Egor and Sokolov ..."
deepvk/USER-base,already_present,"@misc{deepvk2024user,
        title={USER: Universal Sentence Encoder for Russian},
        author={..."
deepvk/USER-bge-m3,added,"@misc{deepvk2024user,
    title={USER: Universal Sentence Encoder for Russian},
    author={Malashen..."
nvidia/NV-Embed-v1,already_present,"@misc{moreira2025nvretrieverimprovingtextembedding,
      title={NV-Retriever: Improving text embedd..."
nvidia/NV-Embed-v2,already_present,"@misc{moreira2025nvretrieverimprovingtextembedding,
      title={NV-Retriever: Improving text embedd..."
nvidia/llama-embed-nemotron-8b,already_present,"@misc{moreira2025nvretrieverimprovingtextembedding,
      title={NV-Retriever: Improving text embedd..."
NbAiLab/nb-bert-base,citation_not_found,
NbAiLab/nb-bert-large,citation_not_found,
NbAiLab/nb-sbert-base,citation_not_found,
GritLM/GritLM-7B,already_present,"
@misc{muennighoff2024generative,
      title={Generative Representational Instruction Tuning},
    ..."
GritLM/GritLM-8x7B,already_present,"
@misc{muennighoff2024generative,
      title={Generative Representational Instruction Tuning},
    ..."
clips/e5-base-trm-nl,already_present,"
@misc{banar2025mtebnle5nlembeddingbenchmark,
  archiveprefix = {arXiv},
  author = {Nikolay Banar a..."
clips/e5-large-trm-nl,already_present,"
@misc{banar2025mtebnle5nlembeddingbenchmark,
  archiveprefix = {arXiv},
  author = {Nikolay Banar a..."
clips/e5-small-trm-nl,already_present,"
@misc{banar2025mtebnle5nlembeddingbenchmark,
  archiveprefix = {arXiv},
  author = {Nikolay Banar a..."
andersborges/model2vecdk,added,"@article{minishlab2024model2vec,
  author = {Tulkens, Stephan and {van Dongen}, Thomas},
  title = {..."
andersborges/model2vecdk-stem,added,"@article{minishlab2024model2vec,
  author = {Tulkens, Stephan and {van Dongen}, Thomas},
  title = {..."
KFST/XLMRoberta-en-da-sv-nb,citation_not_found,
panalexeu/xlm-roberta-ua-distilled,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
nyu-visionx/moco-v3-vit-b,already_present,"@Article{chen2021mocov3,
    author  = {Xinlei Chen* and Saining Xie* and Kaiming He},
    title   =..."
nyu-visionx/moco-v3-vit-l,already_present,"@Article{chen2021mocov3,
    author  = {Xinlei Chen* and Saining Xie* and Kaiming He},
    title   =..."
nvidia/llama-nemoretriever-colembed-1b-v1,already_present,"@misc{xu2025llamanemoretrievercolembedtopperforming,
      title={Llama Nemoretriever Colembed: Top-..."
nvidia/llama-nemoretriever-colembed-3b-v1,already_present,"@misc{xu2025llamanemoretrievercolembedtopperforming,
      title={Llama Nemoretriever Colembed: Top-..."
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,citation_not_found,
minishlab/M2V_base_glove,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
minishlab/M2V_base_glove_subword,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
minishlab/M2V_base_output,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
minishlab/M2V_multilingual_output,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
minishlab/potion-base-2M,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
minishlab/potion-base-4M,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
minishlab/potion-base-8M,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
minishlab/potion-multilingual-128M,already_present,"@software{minishlab2024model2vec,
      authors = {Stephan Tulkens, Thomas van Dongen},
      title ..."
NeuML/pubmedbert-base-embeddings-100K,citation_not_found,
NeuML/pubmedbert-base-embeddings-1M,citation_not_found,
NeuML/pubmedbert-base-embeddings-2M,citation_not_found,
NeuML/pubmedbert-base-embeddings-500K,citation_not_found,
NeuML/pubmedbert-base-embeddings-8M,citation_not_found,
ibm-granite/granite-embedding-107m-multilingual,already_present,"@article{awasthy2025graniteembedding,
  title={Granite Embedding Models},
  author={Awasthy, Parul a..."
ibm-granite/granite-embedding-125m-english,already_present,"@article{awasthy2025graniteembedding,
  title={Granite Embedding Models},
  author={Awasthy, Parul a..."
ibm-granite/granite-embedding-278m-multilingual,already_present,"@article{awasthy2025graniteembedding,
  title={Granite Embedding Models},
  author={Awasthy, Parul a..."
ibm-granite/granite-embedding-30m-english,already_present,"@article{awasthy2025graniteembedding,
  title={Granite Embedding Models},
  author={Awasthy, Parul a..."
ibm-granite/granite-embedding-english-r2,already_present,"@article{awasthy2025graniteembedding,
  title={Granite Embedding Models},
  author={Awasthy, Parul a..."
ibm-granite/granite-embedding-small-english-r2,already_present,"@article{awasthy2025graniteembedding,
  title={Granite Embedding Models},
  author={Awasthy, Parul a..."
nomic-ai/colnomic-embed-multimodal-3b,already_present,"
@misc{nomicembedmultimodal2025,
  title={Nomic Embed Multimodal: Interleaved Text, Image, and Scree..."
nomic-ai/colnomic-embed-multimodal-7b,already_present,"
@misc{nomicembedmultimodal2025,
  title={Nomic Embed Multimodal: Interleaved Text, Image, and Scree..."
vidore/colqwen2-v1.0,already_present,"
@misc{faysse2024colpali,
  title={ColPali: Efficient Document Retrieval with Vision Language Models..."
vidore/colqwen2.5-v0.2,already_present,"
@misc{faysse2024colpali,
  title={ColPali: Efficient Document Retrieval with Vision Language Models..."
TomoroAI/tomoro-colqwen3-embed-4b,already_present,"
@misc{huang2025tomoro_colqwen3_embed,
  title={TomoroAI/tomoro-colqwen3-embed},
  author={Xin Huang..."
TomoroAI/tomoro-colqwen3-embed-8b,already_present,"
@misc{huang2025tomoro_colqwen3_embed,
  title={TomoroAI/tomoro-colqwen3-embed},
  author={Xin Huang..."
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-3B-v1,citation_not_found,
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-7B-v1,citation_not_found,
BeastyZ/e5-R-mistral-7b,citation_not_found,
intfloat/multilingual-e5-large-instruct,already_present,"@article{wang2024multilingual,
      title={Multilingual E5 Text Embeddings: A Technical Report},
  ..."
intfloat/e5-mistral-7b-instruct,already_present,"
    @article{wang2023improving,
      title={Improving Text Embeddings with Large Language Models},..."
zeta-alpha-ai/Zeta-Alpha-E5-Mistral,citation_not_found,
codesage/codesage-base-v2,already_present,"@inproceedings{
    zhang2024code,
    title={{CODE} {REPRESENTATION} {LEARNING} {AT} {SCALE}},
    ..."
codesage/codesage-large-v2,already_present,"@inproceedings{
    zhang2024code,
    title={{CODE} {REPRESENTATION} {LEARNING} {AT} {SCALE}},
    ..."
codesage/codesage-small-v2,already_present,"@inproceedings{
    zhang2024code,
    title={{CODE} {REPRESENTATION} {LEARNING} {AT} {SCALE}},
    ..."
Tarka-AIR/Tarka-Embedding-150M-V1,already_present,"@misc{tarka_ai_research_2025,
	author       = { Tarka AI Research },
	title        = { Tarka-Embeddi..."
Tarka-AIR/Tarka-Embedding-350M-V1,already_present,"@misc{tarka_ai_research_2025,
	author       = { Tarka AI Research },
	title        = { Tarka-Embeddi..."
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,already_present,"@article{hu2025kalm,
  title={KaLM-Embedding: Superior Training Data Brings A Stronger Embedding Mod..."
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5,already_present,"@article{hu2025kalm,
  title={KaLM-Embedding: Superior Training Data Brings A Stronger Embedding Mod..."
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2,already_present,"@article{hu2025kalm,
  title={KaLM-Embedding: Superior Training Data Brings A Stronger Embedding Mod..."
HIT-TMG/KaLM-embedding-multilingual-mini-v1,already_present,"@article{hu2025kalm,
  title={KaLM-Embedding: Superior Training Data Brings A Stronger Embedding Mod..."
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,added,"@misc{zhao2025kalmembeddingv2,
      title={KaLM-Embedding-V2: Superior Training Techniques and Data..."
tencent/KaLM-Embedding-Gemma3-12B-2511,added,"@misc{zhao2025kalmembeddingv2,
      title={KaLM-Embedding-V2: Superior Training Techniques and Data..."
Qwen/Qwen3-Embedding-0.6B,already_present,"@article{qwen3embedding,
  title={Qwen3 Embedding: Advancing Text Embedding and Reranking Through Fo..."
Qwen/Qwen3-Embedding-4B,already_present,"@article{qwen3embedding,
  title={Qwen3 Embedding: Advancing Text Embedding and Reranking Through Fo..."
Qwen/Qwen3-Embedding-8B,already_present,"@article{qwen3embedding,
  title={Qwen3 Embedding: Advancing Text Embedding and Reranking Through Fo..."
annamodels/LGAI-Embedding-Preview,already_present,"@misc{choi2025lgaiembeddingpreviewtechnicalreport,
      title={LGAI-EMBEDDING-Preview Technical Rep..."
opensearch-project/opensearch-neural-sparse-encoding-doc-v1,citation_not_found,
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,citation_not_found,
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini,citation_not_found,
opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill,citation_not_found,
opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte,citation_not_found,
AITeamVN/Vietnamese_Embedding,added,"@misc{Vietnamese_Embedding,
  title={Vietnamese_Embedding: Embedding model in Vietnamese language.},..."
bkai-foundation-models/vietnamese-bi-encoder,citation_not_found,
GreenNode/GreenNode-Embedding-Large-VN-Mixed-V1,citation_not_found,
GreenNode/GreenNode-Embedding-Large-VN-V1,citation_not_found,
hiieu/halong_embedding,added,"@misc{HalongEmbedding,
  title={HalongEmbedding: A Vietnamese Text Embedding},
  author={Ngo Hieu},
..."
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,citation_not_found,
Mira190/Euler-Legal-Embedding-V1,added,"@misc{euler2025legal,
      title={Euler-Legal-Embedding: Advanced Legal Representation Learning}, 
..."
MCINext/Hakim,already_present,"@article{sarmadi2025hakim,
      title={Hakim: Farsi Text Embedding Model},
      author={Sarmadi, M..."
MCINext/Hakim-small,already_present,"@article{sarmadi2025hakim,
      title={Hakim: Farsi Text Embedding Model},
      author={Sarmadi, M..."
MCINext/Hakim-unsup,already_present,"@article{sarmadi2025hakim,
      title={Hakim: Farsi Text Embedding Model},
      author={Sarmadi, M..."
TIGER-Lab/VLM2Vec-Full,already_present,"@article{jiang2024vlm2vec,
  title={VLM2Vec: Training Vision-Language Models for Massive Multimodal ..."
TIGER-Lab/VLM2Vec-LoRA,already_present,"@article{jiang2024vlm2vec,
  title={VLM2Vec: Training Vision-Language Models for Massive Multimodal ..."
richinfoai/ritrieve_zh_v1,citation_not_found,
vidore/colSmol-256M,already_present,"
@misc{faysse2024colpali,
  title={ColPali: Efficient Document Retrieval with Vision Language Models..."
